,open,close,high,low,volume,money
2020-08-11,79.53,77.2,81.61,76.21,43006876.0,3407214448.99
2020-08-12,78.91,75.08,79.27,72.64,66115279.0,4989138463.32
2020-08-13,75.77,71.77,76.27,70.28,58012068.0,4214720339.3
2020-08-14,71.23,73.44,73.8,70.27,41177216.0,2979494621.52
2020-08-17,74.25,74.37,75.14,69.81,54128956.0,3924952887.81
2020-08-18,75.22,74.91,78.34,73.97,49040328.0,3735068595.38
2020-08-19,74.91,67.41,74.91,67.41,60025988.0,4150973973.78
2020-08-20,64.54,64.63,66.49,63.73,59217548.0,3845809229.68
2020-08-21,66.23,64.86,66.43,64.41,35027483.0,2292036232.98
2020-08-24,65.15,62.93,65.51,58.93,63786000.0,3960116615.21
2020-08-25,62.94,62.83,64.41,62.16,31099776.0,1970871699.92
2020-08-26,62.73,59.6,63.91,59.54,43850774.0,2694069641.59
2020-08-27,60.03,60.98,63.33,59.36,44257931.0,2710316365.04
2020-08-28,60.93,64.64,66.17,60.55,57924550.0,3675377396.98
2020-08-31,64.13,63.43,66.13,62.79,41893835.0,2682417872.66
2020-09-01,62.92,61.88,64.08,60.87,33280942.0,2061471599.97
2020-09-02,61.88,60.73,62.56,60.43,25504825.0,1562453512.02
2020-09-03,60.94,60.54,63.33,60.23,37316026.0,2297592447.76
2020-09-04,58.73,62.36,62.86,57.94,47225350.0,2853692516.82
2020-09-07,61.73,59.08,62.48,59.05,34410257.0,2091999542.3
2020-09-08,58.93,59.42,60.37,58.04,28399212.0,1685664382.57
2020-09-09,58.15,54.37,58.43,52.96,67009151.0,3684586829.09
2020-09-10,55.74,54.62,56.72,54.44,38744901.0,2163826932.59
2020-09-11,54.75,55.14,56.42,54.65,28386676.0,1573508086.4
2020-09-14,56.24,53.4,57.7,52.14,54107997.0,2953842812.66
2020-09-15,53.64,55.48,55.84,52.54,39706577.0,2163021724.82
2020-09-16,55.64,54.01,56.43,53.06,32853104.0,1783381228.28
2020-09-17,54.14,52.97,54.43,51.82,37503329.0,1978862721.33
2020-09-18,52.94,53.54,54.3,51.95,37732853.0,2005254858.33
2020-09-21,53.54,53.89,56.09,52.95,46777764.0,2541101022.84
2020-09-22,54.07,53.0,56.03,52.74,62835279.0,3412727379.29
2020-09-23,52.76,56.0,57.44,50.94,92173861.0,5078091567.85
2020-09-24,54.94,55.03,56.58,54.45,52492333.0,2905727869.01
2020-09-25,55.04,54.79,57.19,54.29,49282813.0,2747096521.81
2020-09-28,54.96,50.82,55.24,50.44,61128513.0,3197465364.26
2020-09-29,50.8,50.82,51.62,48.07,58733732.0,2941475578.66
2020-09-30,51.22,50.84,52.11,50.16,32263820.0,1652896434.48
2020-10-09,52.05,52.4,53.21,51.01,44082667.0,2293138431.35
2020-10-12,53.05,56.77,57.54,52.66,73748196.0,4088651955.43
2020-10-13,56.71,57.97,59.29,55.94,69968586.0,4044392919.16
2020-10-14,57.54,58.57,60.66,57.37,66878569.0,3945127957.6
2020-10-15,58.84,57.35,58.94,56.76,37206176.0,2138361329.69
2020-10-16,56.83,57.86,58.83,56.81,31018482.0,1789442055.06
2020-10-19,57.96,56.56,58.44,56.46,27546473.0,1577555994.4
2020-10-20,56.46,57.24,57.5,55.46,26610725.0,1503016240.93
2020-10-21,59.29,57.11,59.72,56.76,53218491.0,3085989371.53
2020-10-22,56.55,53.05,56.55,53.02,55978914.0,3046222655.95
2020-10-23,53.46,48.78,53.83,48.13,69312197.0,3511651549.63
2020-10-26,48.27,48.8,49.81,48.22,30423896.0,1489828003.62
2020-10-27,48.46,49.02,49.73,48.37,30559289.0,1497707611.7
2020-10-28,49.12,48.54,49.63,46.97,38126206.0,1835730691.78
2020-10-29,47.97,50.45,51.29,47.87,54932223.0,2739004907.34
2020-10-30,50.26,49.74,50.72,49.34,29488978.0,1470822268.0
2020-11-02,49.74,48.84,50.1,48.05,33333625.0,1624636247.78
2020-11-03,48.96,49.56,50.33,48.34,25438636.0,1255896291.24
2020-11-04,51.66,51.99,54.19,51.26,63875715.0,3359105799.49
2020-11-05,51.97,51.94,52.95,51.14,35686191.0,1850747122.16
2020-11-06,51.94,48.76,52.05,47.41,60021248.0,2942244319.37
2020-11-09,48.76,50.46,51.05,48.37,39742182.0,1983841661.04
2020-11-10,52.96,48.38,54.28,48.01,77772246.0,3935971690.59
2020-11-11,47.39,46.38,47.58,46.16,53645144.0,2509889781.87
2020-11-12,46.85,45.97,47.17,45.51,36162238.0,1667905415.43
2020-11-13,45.48,45.47,46.24,44.77,31660210.0,1438705440.4
2020-11-16,45.62,46.21,46.83,44.91,26948265.0,1240194564.68
2020-11-17,46.1,44.73,46.12,43.22,48722720.0,2173306069.07
2020-11-18,44.75,44.18,44.94,43.91,25471798.0,1131540648.61
2020-11-19,44.09,44.15,45.02,43.97,25932690.0,1148728075.42
2020-11-20,44.38,43.73,44.67,43.63,22307883.0,981200883.36
2020-11-23,44.47,44.39,45.03,43.2,31176500.0,1377607030.37
2020-11-24,44.34,43.63,44.34,43.4,21196817.0,925680915.79
2020-11-25,43.73,42.61,43.86,42.61,25932477.0,1115800553.78
2020-11-26,42.61,42.32,43.17,42.01,18412287.0,781027434.19
2020-11-27,42.39,42.16,42.87,41.55,21661147.0,913512541.29
2020-11-30,42.5,42.87,44.07,41.16,38093841.0,1629005425.01
2020-12-01,42.87,43.77,44.71,42.87,45874509.0,2016322803.07
2020-12-02,43.98,42.86,44.16,42.44,33875645.0,1457732557.88
2020-12-03,42.91,45.27,46.15,42.62,62139502.0,2776640442.37
2020-12-04,44.97,45.63,46.22,44.49,40864751.0,1857643415.07
2020-12-07,37.5,36.5,38.97,36.5,268258225.0,9952253866.13
2020-12-08,35.97,36.64,37.63,35.58,124134959.0,4543779252.49
2020-12-09,36.47,34.79,37.24,34.67,117084403.0,4163663696.61
2020-12-10,34.78,34.01,35.26,33.88,78056556.0,2692151752.01
2020-12-11,34.18,34.84,36.14,34.16,100937338.0,3537452813.61
2020-12-14,34.64,35.05,35.43,33.57,63369383.0,2201625556.95
2020-12-15,35.33,35.31,36.33,35.0,62527810.0,2231581251.24
2020-12-16,35.37,35.77,36.59,34.48,64464612.0,2296110617.29
2020-12-17,35.77,35.91,36.28,35.39,51529790.0,1849509800.76
2020-12-18,35.95,36.86,37.34,35.38,71199987.0,2605002933.46
2020-12-21,36.95,39.41,40.52,36.59,106912577.0,4117225567.54
2020-12-22,39.95,39.9,40.72,39.18,85290906.0,3406913097.33
2020-12-23,39.67,38.98,39.67,38.47,50918558.0,1982807298.66
2020-12-24,39.46,38.2,39.47,37.86,47700841.0,1830948805.83
2020-12-25,38.07,37.1,38.52,36.85,47358302.0,1780046606.41
2020-12-28,38.09,38.6,40.65,37.98,88478856.0,3480652683.69
2020-12-29,39.23,38.33,39.65,38.21,43520606.0,1687121862.32
2020-12-30,37.97,38.26,38.97,37.63,36768043.0,1410463358.27
2020-12-31,38.17,38.53,39.8,37.97,54818639.0,2124991922.55
2021-01-04,38.53,38.27,38.91,37.77,52673991.0,2012731646.8
2021-01-05,37.95,38.0,38.16,36.6,60403010.0,2267862258.66
2021-01-06,37.98,38.63,39.46,37.87,58870738.0,2267600811.03
2021-01-07,39.19,38.02,39.59,37.67,47679971.0,1833422325.19
2021-01-08,38.02,38.78,39.15,37.89,45290570.0,1740506328.66
2021-01-11,38.82,36.96,38.93,36.87,49283368.0,1855546477.86
2021-01-12,36.68,36.75,37.14,36.36,32334012.0,1186193614.44
2021-01-13,36.75,35.25,36.92,35.19,50087892.0,1794722763.36
2021-01-14,35.25,35.73,36.25,34.68,33193824.0,1181869933.22
2021-01-15,35.58,35.01,36.02,34.5,32751513.0,1150535354.11
2021-01-18,34.77,35.3,35.49,34.52,28960129.0,1016906861.95
2021-01-19,35.37,35.22,36.6,34.99,36413278.0,1298488432.43
2021-01-20,35.22,36.77,36.77,34.97,50614433.0,1827368120.69
2021-01-21,36.97,37.32,37.75,36.33,48223715.0,1785823769.86
2021-01-22,37.35,38.79,39.17,37.14,71671391.0,2768527517.21
2021-01-25,39.47,38.09,39.77,38.04,60215941.0,2331100349.42
2021-01-26,38.32,39.99,41.46,37.57,82795459.0,3304019921.13
2021-01-27,40.25,41.17,41.65,38.68,75748680.0,3064772952.05
2021-01-28,41.97,41.77,43.95,40.89,99115878.0,4188913883.13
2021-01-29,41.15,39.57,42.15,39.15,66665286.0,2702395108.11
2021-02-01,39.46,43.16,43.85,39.06,81230117.0,3411953401.65
2021-02-02,42.58,43.52,45.42,42.4,81684001.0,3596876905.19
2021-02-03,43.07,43.92,45.11,42.72,64587904.0,2847332594.58
2021-02-04,43.51,42.9,44.56,41.68,59393898.0,2559989119.59
2021-02-05,42.85,44.23,45.3,42.53,68283420.0,3038606007.4
2021-02-08,44.47,47.65,48.07,44.03,80620995.0,3736986836.81
2021-02-09,47.84,48.58,49.11,46.77,69173987.0,3328832587.02
2021-02-10,48.64,54.62,56.3,48.31,104652994.0,5466786098.93
2021-02-18,55.46,54.07,57.46,52.76,95007147.0,5215614095.0
2021-02-19,53.44,51.11,53.91,49.38,94641418.0,4839053025.57
2021-02-22,50.11,49.81,51.53,49.05,62687692.0,3144859691.34
2021-02-23,49.47,51.51,52.34,48.56,65472374.0,3325852503.12
2021-02-24,50.94,48.97,51.21,48.91,53326669.0,2667862299.84
2021-02-25,49.34,46.62,50.14,46.43,67674330.0,3259954600.75
2021-02-26,44.98,45.78,47.04,44.5,48617106.0,2233308473.81
2021-03-01,46.08,46.72,47.64,45.54,37076695.0,1733252037.79
2021-03-02,46.97,45.63,47.45,45.19,37261273.0,1720271097.22
2021-03-03,45.17,45.77,46.09,44.58,29895265.0,1356983917.06
2021-03-04,45.08,42.97,45.33,42.87,51187509.0,2240727871.19
2021-03-05,42.53,43.47,44.15,42.48,30397470.0,1322930888.14
2021-03-08,44.47,41.81,45.17,41.67,43304460.0,1883579019.14
2021-03-09,41.89,40.05,42.17,39.69,42680938.0,1739513431.73
2021-03-10,40.82,40.0,41.16,39.98,26993464.0,1092005793.74
2021-03-11,40.01,41.01,41.75,39.98,34810985.0,1426231743.39
2021-03-12,40.98,40.33,41.17,39.4,32403736.0,1303665708.56
2021-03-15,40.34,39.93,41.11,39.47,27596345.0,1109020048.34
2021-03-16,39.95,40.12,40.76,39.73,23839833.0,959415781.51
2021-03-17,39.99,40.06,40.44,39.47,19301737.0,771866343.23
2021-03-18,40.23,42.19,42.91,39.92,49036501.0,2045905713.95
2021-03-19,41.37,41.76,42.08,41.23,26180681.0,1090130841.34
2021-03-22,42.48,43.92,44.04,42.28,34154155.0,1484926770.69
2021-03-23,44.12,44.72,45.54,44.09,40533960.0,1818391964.47
2021-03-24,44.09,45.61,46.29,44.09,33337134.0,1514878896.37
2021-03-25,45.47,44.7,46.06,43.91,31018391.0,1380488955.48
2021-03-26,44.13,44.12,44.52,43.05,36330551.0,1594767974.99
2021-03-29,44.15,45.47,46.4,44.15,44876503.0,2048800653.04
2021-03-30,45.47,46.48,47.3,45.47,37958280.0,1770291892.94
2021-03-31,46.47,45.16,46.47,44.67,29622288.0,1346853067.36
2021-04-01,45.52,45.39,46.12,44.87,21283616.0,967049930.47
2021-04-02,45.4,45.69,46.41,45.39,22538611.0,1033068555.48
2021-04-06,45.47,44.17,45.48,43.87,32597709.0,1448705831.56
2021-04-07,44.52,44.27,44.73,43.65,22016962.0,970900490.54
2021-04-08,44.16,44.42,44.65,43.69,19003786.0,841459008.99
2021-04-09,41.97,42.87,43.28,40.97,39593229.0,1682405756.7
2021-04-12,43.63,43.76,45.22,43.49,40087775.0,1777387219.57
2021-04-13,43.62,47.92,48.56,43.48,77182530.0,3608553090.5
2021-04-14,48.23,47.98,48.45,46.77,41666694.0,1986597037.44
2021-04-15,47.93,49.11,49.61,47.78,43223070.0,2114814087.09
2021-04-16,49.25,50.26,51.57,48.94,54799693.0,2755906253.73
2021-04-19,51.72,53.04,53.86,50.68,58071116.0,3063129853.03
2021-04-20,52.47,52.22,53.16,51.89,44034915.0,2311103876.22
2021-04-21,52.23,54.84,55.32,52.23,55773955.0,3016559319.97
2021-04-22,55.57,55.94,57.64,55.06,67258010.0,3783724500.73
2021-04-23,55.97,56.82,57.22,55.46,50387719.0,2850693211.35
2021-04-26,58.27,59.96,62.55,58.27,85622751.0,5168625371.44
2021-04-27,59.96,61.65,61.95,59.18,51695883.0,3151260565.23
2021-04-28,62.92,61.39,62.92,59.76,67791851.0,4152637224.12
2021-04-29,60.97,58.73,61.67,57.66,81097531.0,4805173724.94
2021-04-30,59.96,62.45,64.28,59.86,92104447.0,5754594391.82
2021-05-06,57.56,55.71,58.46,52.47,130072687.0,7179472618.28
2021-05-07,56.64,55.67,58.82,55.67,64502763.0,3685604354.13
2021-05-10,58.96,57.56,60.4,56.77,60871937.0,3558548216.27
2021-05-11,57.07,55.96,58.13,55.66,46457872.0,2621279160.11
2021-05-12,57.05,64.53,64.53,56.06,80580023.0,4842527670.05
2021-05-13,62.95,63.79,64.8,62.55,59424543.0,3785693914.83
2021-05-14,64.33,68.15,70.15,63.98,96892292.0,6589194119.74
2021-05-17,70.95,69.95,73.0,68.95,76136165.0,5379251179.64
2021-05-18,68.96,68.76,70.75,67.54,54195716.0,3716992447.69
2021-05-19,69.99,69.98,70.86,67.37,53710380.0,3728255328.82
2021-05-20,69.0,68.84,71.67,68.66,47307865.0,3302303813.08
2021-05-21,69.89,64.54,69.9,63.47,87017120.0,5753729784.24
