read,conmment,title,author,renew,link
6183,16,站在散户的角度，说实在的，现在我还挺佩服蔡经理的，他至少能坚守，忠于自己，坚守科,潮江路游资,04-14 20:05,"/news,600276,1023711284.html"
8192,43,恒瑞医药只需证明它的创新能力！,大王叫我来巡山g,04-14 15:10,"/news,600276,1023024299.html"
2933,15,一天杀一匹白马祭天，也不知道为什么要这么做，反正给人的感觉就是在这么做。A股40,爱喝国产红牛,04-14 13:27,"/news,600276,1023685605.html"
7901,17,高管认清在集采环境下，现在的医药股高估了，须及时热卖,心向阳无往不胜,04-14 11:33,"/news,600276,984627864.html"
5895,48,沪股通外资机构本周抢筹恒瑞医药+394.81万股！,大王叫我来巡山g,04-13 07:05,"/news,600276,1022370433.html"
5235,96,春来我不先开口，哪个虫儿敢作声？,大王叫我来巡山g,04-09 10:55,"/news,600276,1021031132.html"
7863,62,恒瑞医药周K线必五连阳迎年报！100元以下的筹码很紧俏！,大王叫我来巡山g,04-06 15:09,"/news,600276,1019872098.html"
5998,51,恒瑞医药年报在即，周线KDJ金叉在即，100元必上！,大王叫我来巡山g,04-03 09:34,"/news,600276,1019378923.html"
3997,73,恒瑞医药月K线三连阴，四月份月K线必巨阳！,大王叫我来巡山g,04-02 10:19,"/news,600276,1018513193.html"
3802,8,大盘第二次探底低点已经显露，就看恒瑞跟不跟大盘的反弹了，如果跟，肯定至少10个点,老乡等等我,03-30 16:31,"/news,600276,1016270749.html"
8296,10,一直关注恒瑞，之前总觉得价格太高不敢下手。最近的连续大跌迎来了机会。昨天尾盘买入,琥珀人生,03-27 10:40,"/news,600276,1017373379.html"
4077,14,老龄化比重大增，药品直接关联！而仿制药只是一时！以后需要的是创新药，而创新药门槛,七彩祥云踏脚下,03-26 12:18,"/news,600276,1013264101.html"
8004,35,那些看空恒瑞的，其实是非常看好，可又想买廉价筹码而已，已经没机会了，明天恒瑞就给,老乡等等我,03-23 21:31,"/news,600276,1015600131.html"
8836,19,恒瑞始终处于加仓中，一股没卖，在这一次大盘的调整中，仍然会移仓过来。当有人把恒瑞,张老人家,03-23 12:09,"/news,600276,1013612931.html"
6601,29,恒瑞别看现在市盈率高，一季报大概率会同比增长26%以上，因为今年一季度基本上医院,老唐cgkl,03-19 15:36,"/news,600276,1013152635.html"
2481,8,一般来说：同类药物，第一个上市的药品能够占到销售收入的50%或者40%，第二个上,板块轮番上涨,03-15 14:17,"/news,600276,981420181.html"
6359,27,美股涨那么高，泡沫那么严重，但是按照辉瑞的估值，恒瑞医药只能是15元，3倍市净率,梅雨丝丝,03-14 21:01,"/news,600276,1012681826.html"
2655,12,各位老铁，我计划满仓做空恒瑞医药，有多大风险？,梅雨丝丝,03-13 01:21,"/news,600276,1011270944.html"
6031,22,好股票就是跌几个月，涨一波。跌几个月涨一波？上一次85附近，我告诉大家，恒瑞跌了,卧龙说股到金,03-10 13:52,"/news,600276,1009862763.html"
15710,38,警惕近期恒瑞持续大跌，会否是一个“时代”结束？,创富人生1,03-10 12:48,"/news,600276,1010289999.html"
7865,36,中国式创新药估值泡沫：平均高估了10倍（恒瑞医药被严重高估的内部逻辑分析）目前国,黄牛跟风者,03-09 11:29,"/news,600276,1006077172.html"
4662,13,恒瑞医药市值5400亿，化学制药行业市值最高，市盈率96倍，行业82名，股价超1,只做最好的自己,03-08 14:50,"/news,600276,1007903424.html"
6770,18,个人分析，恒瑞医药预计这波回调到什么位置？,老杨huagu318,03-07 16:33,"/news,600276,1007860461.html"
6827,20,恒瑞医药，国内创新药龙头公司，研发占比不断提升，也是国内最大的抗肿瘤，手术用药和,心如莲花不着水,03-07 13:23,"/news,600276,1009920762.html"
11596,18,十多年的炒股经验让我明白了一个道理：1、周期的规律大于一切；2、消息面的影响永远,心如莲花不着水,03-06 15:18,"/news,600276,1009814513.html"
5990,10,年前就一直给你们分析恒瑞医药和华东医药的将来预期，告诉你们华东医药预期比恒瑞医药,幽岚缈笙歌,03-05 09:13,"/news,600276,1005611580.html"
4018,17,98.5又进了500股恒瑞，准备开启定投模式。最近医药板块大幅回调跟医药基本面没,嘲羊区吴彦祖,03-03 22:12,"/news,600276,1008695318.html"
8704,24,恒瑞现在这走势是真的看不懂了。来个高人分析下。。基本面啥的就不用说了，单从走势以,㊣回回回回回音゜,03-03 12:20,"/news,600276,1006958913.html"
5008,39,金针菇提取物可以抗肿瘤，极有可能攻克所有癌症，让癌症变成慢性病。哪个药企能先入手,王小霄,03-03 08:09,"/news,600276,1008544185.html"
8700,14,到处的文章都说药中茅台是恒瑞医药。恒瑞医药是中国的辉瑞。的的确确恒瑞医药的研发费,一石穿空,03-02 16:19,"/news,600276,1008426513.html"
7332,11,恒瑞医药：大家好，我是恒瑞医药，我是国内创新药的绝对龙头，从行业对标来看，目前国,心如莲花不着水,02-27 14:25,"/news,600276,1007980024.html"
4721,13,据说，世间有种思维叫穷人思维，与之对应，还有种思维叫富人思维。当然，穷人思维里的,价值投资1990,02-25 16:31,"/news,600276,1007155669.html"
2340,17,恒瑞医药“带金销售”面临“穿透式”监管的最新真实情况,黄牛跟风者,02-23 09:13,"/news,600276,1005954879.html"
4234,19,恒瑞医药董高监们持续减持的真实情况总结（减持，爆雷及后续调查的情况）,黄牛跟风者,02-22 18:19,"/news,600276,1005950445.html"
2137,8,恒瑞6000万股融券盘目前都是亏损状态，恒瑞中长期趋势向上是确定无疑，意味着这些,股友xB23uc,02-21 23:28,"/news,600276,1006040429.html"
3785,33,真的蛋，40割了通威股份，12割了旗滨集团，11.5割了中联重科，95解套出了,不要做t,02-20 14:36,"/news,600276,1005676906.html"
11736,42,打不赢基金，怎么办？纵观现在的A股，散户，游资越来越难，大量的小票无论业绩有多优,接力棒棒哒,02-20 12:55,"/news,600276,1004905572.html"
7353,19,大家好我是收破烂的小孩，技术形态分析恒瑞医药,收破烂的小孩,02-10 17:52,"/news,600276,1003798573.html"
5233,12,恒瑞医药是没有成长天花板的企业，创新型医药企业发展无止境,股市精通高手,02-10 15:28,"/news,600276,999032314.html"
6724,11,十多年的炒股经验让我明白了一个道理：1、周期的规律大于一切；2、消息面的影响永远,心如莲花不着水,02-06 13:47,"/news,600276,1003751730.html"
2647,10,为什么十元恒瑞坚持唱空恒瑞达数年之久。这人适合做股票吗？,股友茅台同志,02-04 16:19,"/news,600276,988146277.html"
5914,12,快讯大智慧/600276大神股神大V养大重仓抄底买入，跟着大佬买入有肉吃。实事求,九天之上九地之下,02-03 17:48,"/news,600276,1001787519.html"
5055,28,恒瑞是否有泡沫，与默克比较一下：销售额：默克468亿美元，468*7＝3276亿,言行不一不要炒股,02-03 16:58,"/news,600276,941895690.html"
2096,5,春季攻势即将开打，恒瑞医药市值可上万亿,股市精通高手,02-01 08:03,"/news,600276,1001505264.html"
27630,20,2021年上证突破4500点，22年突破5178点，23年突破6124点历史新高,股友rxDjYv,01-31 01:01,"/news,600276,999307898.html"
7348,33,最近20交易外资净卖出30亿+，恒瑞医药估值太高了，为十年来最高估值，严重透支了,不贪之知足常乐,01-30 20:24,"/news,600276,998425615.html"
9288,42,那些看空恒瑞的人，基本上都是一些买不起恒瑞股票的穷人,股市精通高手,01-27 11:54,"/news,600276,999032674.html"
12335,39,看看辉瑞，诺华，强生，葛兰素史克的市盈率，恒瑞医药研发敢和人家比吗，100倍的市,F22FE,01-25 04:21,"/news,600276,996734445.html"
5142,7,不管怎么震荡三天也好，5天也好，30天好也好，50天也好。国内的研制药龙头不会变,一石穿空,01-21 16:40,"/news,600276,998026505.html"
9106,26,医药股调整今天结束，重拾升势，恒瑞医药中国医药股中的龙头股，产品垄断市场，业绩增,我们一起买股票,01-21 09:51,"/news,600276,997701529.html"
1100,6,证指数MACD的年线在零轴上已金超叉向上，红线已显，上证指数连续几年的大盘长牛行,股友rxDjYv,01-20 00:53,"/news,600276,997474930.html"
1931,6,为什么外资大幅度流入A股呢？全球受到疫情影响，各国经济受到严重损害，光美国损失了,红日投资东风劲,01-16 20:45,"/news,600276,995554254.html"
4017,56,曾经有人总嘲笑我做T，曾经有人总嘲笑我100股，试问又有多少人能比我收益率高?如,晓通魔术师,01-15 20:51,"/news,600276,978605408.html"
4919,19,大家别慌，恒瑞医药年后肯定能到150元，年底肯定到300元，三年后上1000元是,告别薇安1,01-15 15:03,"/news,600276,996219916.html"
5646,42,基本上每十个交易日就有一个利好公告的恒瑞医药，试问中国4000多个上市公司里还能,股友rxDjYv,01-15 11:26,"/news,600276,995081122.html"
3483,7,这个市值完全可以收购所有A股50亿市值以下的中药上市公司，现在小市值30亿左右的,国字号2,01-14 16:09,"/news,600276,996009002.html"
3872,14,首先，恒瑞医药未来1-2个月，肯定是要创新高！这只股，几乎就是明牌打法，调2个星,东方之才,01-10 15:50,"/news,600276,994384731.html"
5055,13,市场是狂热的，企业是正常的，股价是要符合真实价值的。总是拿恒瑞医药跟世界巨头相比,文明投机兼投资人,12-31 09:13,"/news,600276,990489697.html"
17883,42,今天，恒瑞医药于当日，突然爆发买入了历史天量的主力资金，后市极度看好。备注：应该,XTZB,12-30 01:56,"/news,600276,987008328.html"
6237,9,医保谈判结束，降价超过80%，恒瑞医药下跌才刚刚开始，加上新的采集降价又要开始，,不贪之知足常乐,12-30 01:41,"/news,600276,991214633.html"
14414,31,我2017年的时候怀着好奇的心态进了坑，用大概50元的价格买了一手恒瑞医药，拿了,晶石志,12-29 11:20,"/news,600276,986942892.html"
8365,12,恒瑞医药与万泰生物双双走向国际，这说明提销售额10%以上用于新药研发的战略远见发,佛手护河山,12-26 15:27,"/news,600276,977747436.html"
10017,23,恒瑞医药是没有成长天花板的企业，创新型医药企业发展无止境，最核心优势是制度优势，,佛手护河山,12-26 14:25,"/news,600276,977044228.html"
15571,23,大胆买入恒瑞医药，纵观A股医药板块能真正能成为长青树的公司，目前来看只有恒瑞医药,佛手护河山,12-26 09:24,"/news,600276,969442424.html"
2735,13,辉瑞营收3千多亿利润1千亿左右，市值才1.3万亿，恒瑞营收才辉瑞的百分之10利润,神之右手00za,12-25 16:24,"/news,600276,990182365.html"
5726,30,有人说恒瑞医药如果没有研发费用，市盈率只有60倍，我说如果没有研发费用，恒瑞医药,十元恒瑞2,12-22 14:51,"/news,600276,980309101.html"
5802,67,涨1天就高兴傻了吗？我预测的耻辱顶105元破了吗？我再劝你一句，每次反弹都是你逃,十元恒瑞5,12-22 14:50,"/news,600276,986980020.html"
11315,148,因惦记着老朋友，只好重开此帖III,爱乐586,12-22 09:54,"/news,600276,956629488.html"
6471,65,我见证了恒瑞医药105元耻辱顶，这辈子也算值了，五年后当恒瑞医药跌到10元，我可,十元恒瑞7,12-19 08:53,"/news,600276,961618967.html"
9917,99,我犹豫了很久，到底要不要写这篇文章，因为我知道，此文肯定会招来很多骂声。.龙头股,十元恒瑞7,12-18 15:56,"/news,600276,958960146.html"
8191,13,耐心等待突破，上个箱体2个月的组合时间，目前运行下来才1个月，要么缓慢推横盘做时,大家好我是巴韭特,12-18 13:43,"/news,600276,983583273.html"
4831,58,孙飘扬直言医药股泡沫巨大，特别是恒瑞医药泡沫更巨大。格雷厄姆说过：超过20倍PE,十元恒瑞7,12-18 12:49,"/news,600276,958726477.html"
15580,130,恒瑞医药或有退市风险！恒瑞医药有退市风险！这绝不是危言耸听。整体冠脉支架从均价1,十元恒瑞1,12-18 12:17,"/news,600276,979964810.html"
2075,11,恒瑞5.5的净资产，一年营收2百多亿，今年10%左右的增长，何以支撑超80倍的市,股友xB23uc,12-17 20:08,"/news,600276,986418578.html"
5876,35,我见证了恒瑞医药105元耻辱顶，这辈子也算值了，五年后当恒瑞医药跌到10元，我可,十元恒瑞1,12-17 14:10,"/news,600276,957360404.html"
5666,11,很多投资股票的朋友经常会困惑，为什么我买的股票总是不涨？但是人家的股票总是在涨。,卧龙说股到金,12-17 13:16,"/news,600276,978802851.html"
6629,17,恒瑞医药低点大约在70元左右，慢慢熊途，还早呢，大家不要着急，跟我在70元抄底，,不贪之知足常乐,12-17 11:19,"/news,600276,982971362.html"
6007,12,万亿俱乐部不应只有银行和酒，更应该有医药。,股市精通高手,12-17 11:18,"/news,600276,982671034.html"
3554,21,恒瑞医药耻辱顶105元定了，第三批国家药品集中采购拟中标产品平均降价53%，药企,十元恒瑞2,12-15 17:32,"/news,600276,957392211.html"
11520,128,“伪创新”、“吃相难看”两顶帽子确实太沉重，这家知名医药白马股要陨落？也许你现在,十元恒瑞2,12-15 15:38,"/news,600276,957883056.html"
4934,90,我再说一遍，恒瑞医药耻辱顶105元。因为我精准预测了恒瑞医药的耻辱顶，我已小有名,十元恒瑞10,12-13 08:15,"/news,600276,956279601.html"
7870,40,别的我都不想说了，看看恒瑞医药三季报的股东人数，29万多，三月份才13万，半年股,十元恒瑞3,12-12 17:25,"/news,600276,975085066.html"
