,open,close,high,low,volume,money
2018-11-29,66.52,68.72,69.48,66.52,10573144.0,722524100.07
2018-11-30,67.84,70.2,70.56,67.65,8552725.0,596960272.41
2018-12-03,71.23,71.5,73.07,70.49,9588168.0,683716699.62
2018-12-04,71.47,71.03,71.47,70.29,4834719.0,342130362.12
2018-12-05,69.46,72.18,72.82,69.46,8969927.0,644766620.27
2018-12-06,71.42,70.69,73.02,70.04,6016930.0,429926983.05
2018-12-07,70.23,71.68,72.24,69.92,5765191.0,411638034.88
2018-12-10,71.28,71.85,72.23,70.37,4747559.0,337797189.97
2018-12-11,71.99,73.0,73.25,71.99,5266957.0,383480014.06
2018-12-12,73.31,72.65,74.32,72.46,4349012.0,319691377.04
2018-12-13,72.65,74.7,75.34,72.65,6338107.0,470797473.27
2018-12-14,74.67,74.44,75.14,73.95,4622924.0,344652224.92
2018-12-17,74.32,72.93,74.32,72.35,5790148.0,423445844.64
2018-12-18,72.63,72.04,73.2,71.37,3279688.0,236204913.52
2018-12-19,72.05,69.63,72.09,69.61,4845916.0,341006404.23
2018-12-20,68.69,68.17,69.59,67.55,3526849.0,240865313.43
2018-12-21,68.12,67.14,68.17,66.22,3305506.0,221683642.1
2018-12-24,67.8,70.63,71.14,67.37,4295483.0,299240039.7
2018-12-25,70.07,70.7,71.12,69.14,3008883.0,210604621.46
2018-12-26,70.67,70.69,72.13,70.2,2651326.0,189087162.49
2018-12-27,71.52,70.85,71.99,70.85,2544869.0,181359151.78
2018-12-28,70.86,69.69,71.22,69.26,2612628.0,183010640.76
2019-01-02,70.29,67.78,70.37,67.57,4157624.0,283258334.98
2019-01-03,68.33,65.95,68.33,65.37,5702973.0,377536914.44
2019-01-04,65.03,66.85,67.47,65.02,2992972.0,199110895.71
2019-01-07,67.63,68.22,68.56,66.33,4544339.0,308707896.88
2019-01-08,68.07,69.91,70.42,67.65,5087210.0,352379676.15
2019-01-09,69.97,70.02,71.73,69.61,5823978.0,413092232.35
2019-01-10,69.62,69.39,70.76,69.1,2670379.0,185929246.35
2019-01-11,69.43,69.46,69.91,68.16,3136195.0,216115392.37
2019-01-14,69.63,67.92,69.73,67.85,3051003.0,209015803.85
2019-01-15,67.92,70.79,70.95,67.92,4057558.0,283569707.73
2019-01-16,71.27,72.55,72.64,70.76,5392582.0,388335986.67
2019-01-17,72.55,71.47,73.1,71.28,3902893.0,281519871.16
2019-01-18,71.61,73.95,74.25,71.54,5790135.0,424090405.64
2019-01-21,73.94,73.99,74.86,73.31,5306672.0,393424625.49
2019-01-22,73.87,72.87,73.87,72.27,3551922.0,258742985.5
2019-01-23,72.37,74.24,74.63,72.37,3809061.0,281421892.51
2019-01-24,74.01,75.02,75.23,72.88,3467263.0,258547861.94
2019-01-25,75.03,73.71,75.55,73.5,3003403.0,223708776.74
2019-01-28,73.76,73.5,74.83,72.32,5185472.0,380856901.97
2019-01-29,73.4,74.42,74.56,72.89,3460581.0,256154601.25
2019-01-30,74.13,73.21,74.61,72.9,2527566.0,185546115.06
2019-01-31,73.08,73.24,73.95,72.65,3125606.0,229450272.54
2019-02-01,73.8,76.28,76.78,73.25,4119004.0,311387297.07
2019-02-11,75.84,78.49,78.96,75.63,4545655.0,354456591.31
2019-02-12,78.62,80.23,81.01,78.17,6033661.0,481449961.34
2019-02-13,80.17,80.61,81.18,79.51,4308213.0,345800406.94
2019-02-14,80.62,79.81,80.62,79.04,4740045.0,377192751.22
2019-02-15,79.53,78.02,79.53,77.56,4285643.0,336046495.95
2019-02-18,78.16,80.32,80.46,78.16,4547079.0,362474691.33
2019-02-19,80.36,78.81,80.36,78.38,4062321.0,322353324.05
2019-02-20,78.8,78.94,79.38,78.26,3439822.0,270940881.46
2019-02-21,78.95,78.08,79.08,77.96,3239656.0,254290370.27
2019-02-22,78.08,78.32,78.38,76.71,4140151.0,320858081.86
2019-02-25,78.4,80.13,80.54,78.23,11087021.0,880155291.69
2019-02-26,80.09,81.53,83.02,79.16,9985389.0,815460278.07
2019-02-27,81.53,80.17,82.46,79.67,6024701.0,489179869.17
2019-02-28,80.17,80.17,80.17,80.17,0.0,0.0
2019-03-01,83.75,81.55,83.86,80.56,7001266.0,569969711.78
2019-03-04,81.87,83.88,84.1,81.83,9103380.0,758254931.95
2019-03-05,83.81,83.86,83.86,82.73,4942338.0,412187738.82
2019-03-06,83.75,82.92,83.86,82.24,5108921.0,423140930.44
2019-03-07,82.73,80.86,82.73,80.0,7786576.0,630414324.93
2019-03-08,79.34,78.0,80.56,77.88,6772009.0,535496314.46
2019-03-11,77.83,79.2,79.55,77.79,4645429.0,365846068.84
2019-03-12,80.02,78.93,80.02,78.57,5265553.0,416534944.6
2019-03-13,78.4,79.54,80.11,78.22,5185414.0,410378922.62
2019-03-14,79.54,79.71,80.36,79.17,4121223.0,328952233.08
2019-03-15,79.81,79.24,80.46,78.65,5192150.0,413603545.33
2019-03-18,79.3,82.84,82.9,79.15,12136236.0,988415463.25
2019-03-19,82.92,81.31,83.1,80.56,8643425.0,703807202.52
2019-03-20,81.22,80.83,81.74,79.94,5130669.0,414678962.23
2019-03-21,80.75,81.15,81.15,80.2,5058811.0,408329661.77
2019-03-22,81.98,81.05,82.39,80.47,6231924.0,507116141.91
2019-03-25,79.97,78.34,79.97,78.3,8508448.0,670687957.0
2019-03-26,78.34,77.8,79.03,77.46,4185825.0,327355206.96
2019-03-27,77.66,78.99,79.22,77.66,4625262.0,364245352.18
2019-03-28,78.9,78.38,78.91,77.89,3871545.0,302987607.39
2019-03-29,78.38,80.56,80.76,78.22,7718440.0,617496173.81
2019-04-01,80.85,82.45,82.74,80.84,9400887.0,770592957.52
2019-04-02,82.28,81.65,82.28,80.94,7159855.0,582192022.68
2019-04-03,81.61,80.7,83.67,78.4,16794013.0,1363511357.87
2019-04-04,80.09,79.96,80.14,78.86,10350103.0,821916681.45
2019-04-08,80.0,80.6,81.5,79.62,9388355.0,754420048.72
2019-04-09,81.03,85.74,86.22,80.29,19524840.0,1630668818.74
2019-04-10,85.75,88.66,93.17,85.18,18178255.0,1619425358.14
2019-04-11,88.1,85.56,88.53,84.86,11195657.0,966954648.73
2019-04-12,85.75,84.78,86.4,83.86,7546149.0,640662394.11
2019-04-15,85.16,84.0,87.21,83.98,6805160.0,581373193.05
2019-04-16,83.97,84.94,84.94,82.92,6109441.0,513690827.11
2019-04-17,84.72,85.92,86.58,84.08,6377063.0,545250972.89
2019-04-18,85.75,84.86,86.6,84.8,4931682.0,422478115.4
2019-04-19,84.73,84.75,85.61,83.56,4649362.0,391943310.87
2019-04-22,84.76,86.52,86.66,84.36,7894233.0,676735727.23
2019-04-23,85.94,85.56,86.53,85.38,5206198.0,446792086.48
2019-04-24,85.84,86.69,87.12,85.84,5958681.0,515562897.19
